id,name,balls_bowled,balls_faced,fielded
290,VR Iyer,84,1180,25
291,Umran Malik,519,16,5
292,Akash Singh,256,0,2
293,GD Phillips,31,112,11
294,AK Markram,230,1264,39
295,GHS Garton,97,4,1
296,K Yadav,54,4,0
297,T Shamsi,120,4,0
298,NT Ellis,390,26,2
299,TL Seifert,0,44,5
300,IC Porel,26,0,0
301,AU Rashid,60,17,0
302,TH David,6,666,34
303,DP Conway,0,794,11
304,Tilak Varma,23,1304,43
305,OF Smith,95,50,2
306,Akash Deep,302,14,2
307,PBB Rajapaksa,0,201,4
308,RA Bawa,32,32,7
309,MS Wade,0,185,10
310,A Badoni,41,866,20
311,PVD Chameera,420,49,3
312,Mohsin Khan,654,31,4
313,A Manohar,0,243,18
314,R Shepherd,355,161,6
315,D Pretorius,166,28,3
316,Mukesh Choudhary,488,6,6
317,JM Sharma,0,733,68
318,VG Arora,931,28,11
319,D Brevis,3,421,23
320,DG Nalkande,89,12,2
321,B Sai Sudharsan,0,1646,14
322,M Theekshana,902,34,4
323,Ramandeep Singh,66,212,23
324,HE van der Dussen,0,25,1
325,KR Sen,255,3,3
326,SS Prabhudessai,0,113,13
327,Yash Dayal,920,9,9
328,Shashank Singh,74,588,19
329,Aman Hakim Khan,6,109,9
330,OC McCoy,180,5,1
331,HR Shokeen,213,67,5
332,DJ Mitchell,51,274,11
333,B Indrajith,0,31,2
334,Harshit Rana,679,57,11
335,K Kartikeya,290,18,1
336,Simarjeet Singh,256,15,3
337,SA Abbott,59,18,0
338,Fazalhaq Farooqi,266,15,1
339,R Sai Kishore,477,16,8
340,KS Sharma,0,25,0
341,T Stubbs,37,666,25
342,PH Solanki,36,0,0
343,M Pathirana,797,0,9
344,R Sanjay Yadav,14,2,0
345,A Tomar,0,8,0
346,PN Mankad,0,75,6
347,J Little,236,0,5
348,RS Hangargekar,43,0,0
349,Rahmanullah Gurbaz,0,283,18
350,Sikandar Raza,88,143,5
351,KR Mayers,46,276,2
352,Mukesh Kumar,879,20,8
353,RR Rossouw,0,321,10
354,HC Brook,0,159,3
355,RJW Topley,125,6,2
356,C Green,573,691,18
357,MG Bracewell,66,49,1
358,N Wadhera,17,583,15
359,Arshad Khan,375,100,7
360,Yash Thakur,501,0,3
361,Abishek Porel,0,528,12
362,MW Short,45,138,6
363,Dhruv Jurel,0,747,40
364,Suyash Sharma,803,0,2
365,SSB Magala,37,0,1
366,Mohit Rathee,12,2,0
367,WD Parnell,758,86,11
368,YV Dhull,0,23,3
369,Vijaykumar Vyshak,531,17,7
370,Harpreet Singh,0,119,3
371,Yudhvir Singh,145,16,0
372,Atharva Taide,1,188,5
373,Arjun Tendulkar,83,9,0
374,D Jansen,28,0,2
375,Noor Ahmad,1122,54,12
376,Naveen-ul-Haq,407,26,6
377,Liton Das,0,4,0
378,D Wiese,307,105,8
379,PD Salt,0,746,35
380,Mayank Dagar,138,1,3
381,Abdul Basith,0,1,0
382,Gurnoor Brar,21,0,0
383,AJ Hosein,175,14,2
384,SK Rasheed,0,67,2
385,Sonu Yadav,0,0,1
386,Akash Madhwal,376,14,1
387,R Goyal,24,0,1
388,Vivrant Sharma,21,49,0
