id,name,balls_bowled,balls_faced,role
262,JDS Neesham,222,93,bowler
246,JL Pattinson,222,13,bowler
560,SB Styris,222,134,bowler
557,Y Venugopal Rao,222,865,allrounder
645,KP Appanna,222,4,bowler
635,YA Abdulla,222,1,bowler
199,DJ Willey,221,64,bowler
652,S Tyagi,220,4,bowler
154,MN Samuels,219,174,bowler
2,TS Mills,218,14,bowler
447,J Overton,217,98,bowler
407,SH Johnson,216,11,bowler
483,Shivang Kumar,215,23,bowler
632,RS Bopara,213,468,allrounder
801,Karanveer Singh,213,17,bowler
597,M Ntini,213,19,bowler
331,HR Shokeen,213,67,bowler
636,VS Malik,212,7,bowler
760,V Pratap Singh,211,1,bowler
207,S Lamichhane,211,1,bowler
62,S Kaushik,210,1,bowler
446,Zeeshan Ansari,209,0,bowler
464,Harsh Dubey,200,11,bowler
791,Parvez Rasool,200,20,bowler
570,Mohammad Asif,199,6,bowler
423,N Thushara,198,0,bowler
448,Ashwani Kumar,196,6,bowler
732,J Syed Mohammad,196,27,bowler
782,SMSM Senanayake,195,17,bowler
476,AM Ghazanfar,194,0,bowler
410,M Siddharth,193,0,bowler
519,B Akhil,193,57,bowler
688,SE Bond,191,2,bowler
667,AB McDonald,188,103,bowler
258,KL Nagarkoti,185,34,bowler
572,Shahid Afridi,185,46,bowler
420,WG Jacks,184,359,bowler
194,IS Sodhi,182,18,bowler
251,I Udana,182,11,bowler
216,KMA Paul,180,26,bowler
629,KP Pietersen,180,758,bowler
330,OC McCoy,180,5,bowler
715,S Randiv,180,4,bowler
181,B Laughlin,179,13,bowler
630,Kamran Khan,177,5,bowler
243,S Sandeep Warrier,176,0,bowler
383,AJ Hosein,175,14,bowler
228,HF Gurney,169,5,bowler
158,MJ Henry,166,10,bowler
315,D Pretorius,166,28,bowler
669,CK Langeveldt,165,9,bowler
70,Swapnil Singh,165,46,bowler
743,Anand Rajan,162,0,bowler
600,DP Vijaykumar,159,1,bowler
738,P Parameswaran,159,3,bowler
799,BE Hendricks,157,3,bowler
211,S Dube,156,1536,bowler
634,AM Salvi,156,0,bowler
