id,name,balls_bowled,balls_faced,fielded,role
276,C Sakariya,479,31,6,bowler
277,M Shahrukh Khan,18,551,29,batter
278,JA Richardson,94,27,1,unknown
279,RP Meredith,415,3,2,bowler
280,Virat Singh,0,26,2,unknown
281,LI Meriwala,19,0,0,unknown
282,RV Patel,20,76,3,unknown
283,Jalaj S Saxena,18,0,0,unknown
284,FA Allen,91,19,2,unknown
285,KW Richardson,345,39,6,bowler
286,Anuj Rawat,0,276,20,batter
287,DJ Malan,0,26,1,unknown
288,KS Bharat,0,168,6,batter
289,PWH de Silva,808,95,6,bowler
290,VR Iyer,84,1180,25,batter
291,Umran Malik,519,16,5,bowler
292,Akash Singh,256,0,2,bowler
293,GD Phillips,31,112,11,batter
294,AK Markram,230,1264,39,allrounder
295,GHS Garton,97,4,1,unknown
296,K Yadav,54,4,0,unknown
297,T Shamsi,120,4,0,bowler
298,NT Ellis,390,26,2,bowler
299,TL Seifert,0,44,5,unknown
300,IC Porel,26,0,0,unknown
301,AU Rashid,60,17,0,unknown
302,TH David,6,666,34,batter
303,DP Conway,0,794,11,batter
304,Tilak Varma,23,1304,43,batter
305,OF Smith,95,50,2,unknown
306,Akash Deep,302,14,2,bowler
307,PBB Rajapaksa,0,201,4,batter
308,RA Bawa,32,32,7,unknown
309,MS Wade,0,185,10,batter
310,A Badoni,41,866,20,batter
311,PVD Chameera,420,49,3,bowler
312,Mohsin Khan,654,31,4,bowler
313,A Manohar,0,243,18,batter
314,R Shepherd,355,161,6,bowler
315,D Pretorius,166,28,3,bowler
316,Mukesh Choudhary,488,6,6,bowler
317,JM Sharma,0,733,68,batter
318,VG Arora,931,28,11,bowler
319,D Brevis,3,421,23,batter
320,DG Nalkande,89,12,2,unknown
321,B Sai Sudharsan,0,1646,14,batter
322,M Theekshana,902,34,4,bowler
323,Ramandeep Singh,66,212,23,batter
324,HE van der Dussen,0,25,1,unknown
325,KR Sen,255,3,3,bowler
326,SS Prabhudessai,0,113,13,batter
327,Yash Dayal,920,9,9,bowler
328,Shashank Singh,74,588,19,batter
329,Aman Hakim Khan,6,109,9,batter
330,OC McCoy,180,5,1,bowler
331,HR Shokeen,213,67,5,bowler
332,DJ Mitchell,51,274,11,batter
333,B Indrajith,0,31,2,unknown
334,Harshit Rana,679,57,11,bowler
335,K Kartikeya,290,18,1,bowler
336,Simarjeet Singh,256,15,3,bowler
337,SA Abbott,59,18,0,unknown
338,Fazalhaq Farooqi,266,15,1,bowler
339,R Sai Kishore,477,16,8,bowler
340,KS Sharma,0,25,0,unknown
341,T Stubbs,37,666,25,batter
342,PH Solanki,36,0,0,unknown
343,M Pathirana,797,0,9,bowler
344,R Sanjay Yadav,14,2,0,unknown
345,A Tomar,0,8,0,unknown
346,PN Mankad,0,75,6,unknown
347,J Little,236,0,5,bowler
348,RS Hangargekar,43,0,0,unknown
349,Rahmanullah Gurbaz,0,283,18,batter
350,Sikandar Raza,88,143,5,batter
351,KR Mayers,46,276,2,batter
352,Mukesh Kumar,879,20,8,bowler
353,RR Rossouw,0,321,10,batter
354,HC Brook,0,159,3,batter
355,RJW Topley,125,6,2,bowler
356,C Green,573,691,18,allrounder
357,MG Bracewell,66,49,1,unknown
358,N Wadhera,17,583,15,batter
359,Arshad Khan,375,100,7,bowler
360,Yash Thakur,501,0,3,bowler
361,Abishek Porel,0,528,12,batter
362,MW Short,45,138,6,batter
363,Dhruv Jurel,0,747,40,batter
364,Suyash Sharma,803,0,2,bowler
365,SSB Magala,37,0,1,unknown
366,Mohit Rathee,12,2,0,unknown
367,WD Parnell,758,86,11,bowler
368,YV Dhull,0,23,3,unknown
369,Vijaykumar Vyshak,531,17,7,bowler
370,Harpreet Singh,0,119,3,batter
371,Yudhvir Singh,145,16,0,bowler
372,Atharva Taide,1,188,5,batter
373,Arjun Tendulkar,83,9,0,unknown
374,D Jansen,28,0,2,unknown
375,Noor Ahmad,1122,54,12,bowler
376,Naveen-ul-Haq,407,26,6,bowler
377,Liton Das,0,4,0,unknown
378,D Wiese,307,105,8,bowler
379,PD Salt,0,746,35,batter
380,Mayank Dagar,138,1,3,bowler
381,Abdul Basith,0,1,0,unknown
382,Gurnoor Brar,21,0,0,unknown
383,AJ Hosein,175,14,2,bowler
384,SK Rasheed,0,67,2,unknown
385,Sonu Yadav,0,0,1,unknown
386,Akash Madhwal,376,14,1,bowler
387,R Goyal,24,0,1,unknown
388,Vivrant Sharma,21,49,0,unknown
389,JE Root,12,15,2,unknown
390,MD Shanaka,25,46,3,unknown
391,Sanvir Singh,0,22,3,unknown
392,Nithish Kumar Reddy,330,530,22,allrounder
393,D Ferreira,18,160,13,batter
394,H Sharma,30,0,0,unknown
395,Subhransu Senapati,0,0,1,unknown
396,R Ravindra,12,298,11,batter
397,SD Hope,0,125,7,batter
398,Sumit Kumar,22,26,3,unknown
399,Tanay Thyagarajan,0,0,2,unknown
400,MA Starc,1246,122,30,bowler
401,N Burger,310,5,3,bowler
402,L Wood,38,3,0,unknown
403,SZ Mulani,33,1,0,unknown
404,Azmatullah Omarzai,350,105,0,bowler
405,Naman Dhir,53,436,23,batter
406,G Coetzee,292,33,3,bowler
407,SH Johnson,216,11,3,bowler
408,Sameer Rizvi,0,304,9,batter
409,KT Maphaka,71,3,2,unknown
410,M Siddharth,193,0,3,bowler
411,MP Yadav,230,6,3,bowler
412,SB Dubey,0,142,1,batter
413,A Raghuvanshi,0,628,12,batter
414,Ashutosh Sharma,0,345,6,batter
415,Saurav Chauhan,0,16,0,unknown
416,J Fraser-McGurk,0,203,10,batter
417,Kumar Kushagra,0,21,2,unknown
418,BR Sharath,0,5,1,unknown
419,KA Maharaj,36,2,1,unknown
420,WG Jacks,184,359,11,bowler
421,Tanush Kotian,0,32,1,unknown
422,S Joseph,30,0,0,unknown
423,N Thushara,198,0,2,bowler
424,LB Williams,42,2,1,unknown
425,AA Kulkarni,0,32,0,unknown
426,RJ Gleeson,73,2,0,unknown
427,MJ Suthar,50,2,2,unknown
428,A Kamboj,488,47,6,bowler
429,Gulbadin Naib,6,15,1,unknown
430,V Viyaskanth,60,5,2,unknown
